Date,Time,Irradiation_Wm2,AmbientTemp_C,CellTemp_C,Voc_V,Isc_A,Vm_V,Im_A,Pm_W,FF
2025-04-03,15:00,985,32.1,34.5,80.31,1.47,64.25,1.23,79.0,0.67
2025-04-03,15:30,916,32.1,34.4,80.36,1.37,64.29,1.14,73.0,0.67
2025-04-03,16:00,794,32.1,34.1,80.46,1.18,64.37,0.99,64.0,0.67
2025-04-03,16:30,674,32.1,33.8,80.56,1.0,64.44,0.84,54.0,0.67
2025-04-03,17:00,462,32.1,33.2,80.72,0.69,64.58,0.58,37.0,0.67
2025-04-03,17:30,370,32.1,33.0,80.8,0.55,64.64,0.46,30.0,0.67
2025-04-03,18:00,250,32.1,32.7,80.89,0.37,64.71,0.31,20.0,0.67
2025-04-03,18:30,250,32.1,32.7,80.89,0.37,64.71,0.31,20.0,0.67
2025-04-04,08:30,250,33.5,34.1,80.43,0.37,64.35,0.31,20.0,0.67
2025-04-04,09:00,250,33.5,34.1,80.43,0.37,64.35,0.31,20.0,0.67
2025-04-04,09:30,375,33.5,34.5,80.33,0.56,64.27,0.47,30.0,0.67
2025-04-04,10:00,537,33.5,34.9,80.21,0.8,64.16,0.67,43.0,0.67
2025-04-04,10:30,668,33.5,35.2,80.1,1.0,64.08,0.83,53.0,0.67
2025-04-04,11:00,812,33.5,35.5,79.99,1.21,63.99,1.01,65.0,0.67
2025-04-04,11:30,867,33.5,35.7,79.94,1.29,63.96,1.08,69.0,0.67
2025-04-04,12:00,1001,33.5,36.0,79.84,1.49,63.87,1.25,80.0,0.67
2025-04-04,12:30,1085,33.5,36.2,79.77,1.62,63.82,1.36,87.0,0.67
2025-04-04,13:00,1062,33.5,36.2,79.79,1.59,63.83,1.33,85.0,0.67
2025-04-04,13:30,1122,33.5,36.3,79.74,1.68,63.79,1.4,89.0,0.67
2025-04-04,14:00,1116,33.5,36.3,79.75,1.67,63.8,1.4,89.0,0.67
2025-04-04,14:30,1045,33.5,36.1,79.8,1.56,63.84,1.31,83.0,0.67
2025-04-04,15:00,1014,33.5,36.1,79.83,1.51,63.86,1.27,81.0,0.67
2025-04-04,15:30,890,33.5,35.7,79.93,1.33,63.94,1.11,71.0,0.67
2025-04-04,16:00,823,33.5,35.6,79.98,1.23,63.98,1.03,66.0,0.67
2025-04-04,16:30,641,33.5,35.1,80.12,0.96,64.1,0.8,51.0,0.67
2025-04-04,17:00,513,33.5,34.8,80.23,0.76,64.18,0.64,41.0,0.67
2025-04-04,17:30,350,33.5,34.4,80.35,0.52,64.28,0.44,28.0,0.67
2025-04-04,18:00,250,33.5,34.1,80.43,0.37,64.35,0.31,20.0,0.67
2025-04-04,18:30,250,33.5,34.1,80.43,0.37,64.35,0.31,20.0,0.67
2025-04-05,08:30,250,34.1,34.7,80.25,0.37,64.2,0.31,20.0,0.67
2025-04-05,09:00,250,34.1,34.7,80.25,0.37,64.2,0.31,20.0,0.67
2025-04-05,09:30,370,34.1,35.0,80.15,0.55,64.12,0.46,30.0,0.67
2025-04-05,10:00,510,34.1,35.4,80.04,0.76,64.03,0.64,41.0,0.67
2025-04-05,10:30,661,34.1,35.8,79.92,0.99,63.94,0.83,53.0,0.67
2025-04-05,11:00,764,34.1,36.0,79.84,1.14,63.87,0.96,61.0,0.67
2025-04-05,11:30,905,34.1,36.4,79.73,1.35,63.78,1.13,72.0,0.67
2025-04-05,12:00,971,34.1,36.5,79.67,1.45,63.74,1.21,77.0,0.67
2025-04-05,12:30,993,34.1,36.6,79.66,1.48,63.73,1.24,79.0,0.67
2025-04-05,13:00,1045,34.1,36.7,79.62,1.56,63.69,1.31,83.0,0.67
2025-04-05,13:30,1074,34.1,36.8,79.59,1.6,63.67,1.34,86.0,0.67
2025-04-05,14:00,1060,34.1,36.8,79.6,1.58,63.68,1.33,84.0,0.67
2025-04-05,14:30,1011,34.1,36.6,79.64,1.51,63.71,1.27,81.0,0.67
2025-04-05,15:00,935,34.1,36.4,79.7,1.4,63.76,1.17,75.0,0.67
2025-04-05,15:30,875,34.1,36.3,79.75,1.31,63.8,1.09,70.0,0.67
2025-04-05,16:00,749,34.1,36.0,79.85,1.12,63.88,0.94,60.0,0.67
2025-04-05,16:30,656,34.1,35.8,79.92,0.98,63.94,0.82,52.0,0.67
2025-04-05,17:00,486,34.1,35.3,80.06,0.73,64.05,0.61,39.0,0.67
2025-04-05,17:30,331,34.1,34.9,80.18,0.49,64.14,0.41,27.0,0.67
2025-04-05,18:00,250,34.1,34.7,80.25,0.37,64.2,0.31,20.0,0.67
2025-04-05,18:30,250,34.1,34.7,80.25,0.37,64.2,0.31,20.0,0.67
2025-04-06,08:30,250,40.5,41.1,78.23,0.37,62.58,0.31,20.0,0.67
2025-04-06,09:00,250,40.5,41.1,78.23,0.37,62.58,0.31,20.0,0.67
2025-04-06,09:30,341,40.5,41.3,78.15,0.51,62.52,0.43,27.0,0.67
2025-04-06,10:00,495,40.5,41.7,78.03,0.74,62.43,0.62,39.0,0.67
2025-04-06,10:30,613,40.5,42.0,77.94,0.92,62.35,0.77,48.0,0.67
2025-04-06,11:00,775,40.5,42.4,77.81,1.16,62.25,0.98,61.0,0.67
2025-04-06,11:30,876,40.5,42.7,77.73,1.32,62.18,1.1,69.0,0.67
2025-04-06,12:00,1008,40.5,43.0,77.63,1.52,62.1,1.27,79.0,0.67
2025-04-06,12:30,1066,40.5,43.2,77.58,1.6,62.06,1.34,83.0,0.67
2025-04-06,13:00,1111,40.5,43.3,77.54,1.67,62.04,1.4,87.0,0.67
2025-04-06,13:30,1125,40.5,43.3,77.53,1.69,62.03,1.42,88.0,0.67
2025-04-06,14:00,1101,40.5,43.2,77.55,1.66,62.04,1.39,86.0,0.67
2025-04-06,14:30,1021,40.5,43.0,77.62,1.53,62.09,1.29,80.0,0.67
2025-04-06,15:00,1021,40.5,43.0,77.62,1.53,62.09,1.29,80.0,0.67
2025-04-06,15:30,926,40.5,42.8,77.69,1.39,62.15,1.17,72.0,0.67
2025-04-06,16:00,743,40.5,42.3,77.84,1.12,62.27,0.94,58.0,0.67
2025-04-06,16:30,616,40.5,42.0,77.94,0.92,62.35,0.77,48.0,0.67
2025-04-06,17:00,476,40.5,41.7,78.05,0.71,62.44,0.6,37.0,0.67
2025-04-06,17:30,355,40.5,41.4,78.14,0.53,62.51,0.45,28.0,0.67
2025-04-06,18:00,250,40.5,41.1,78.23,0.37,62.58,0.31,20.0,0.67
2025-04-06,18:30,250,40.5,41.1,78.23,0.37,62.58,0.31,20.0,0.67
2025-04-07,08:30,250,39.1,39.8,78.65,0.37,62.92,0.31,20.0,0.67
2025-04-07,09:00,250,39.1,39.8,78.65,0.37,62.92,0.31,20.0,0.67
2025-04-07,09:30,339,39.1,40.0,78.58,0.51,62.87,0.43,27.0,0.67
2025-04-07,10:00,461,39.1,40.3,78.49,0.69,62.79,0.58,36.0,0.67
2025-04-07,10:30,592,39.1,40.6,78.38,0.89,62.71,0.74,47.0,0.67
2025-04-07,11:00,737,39.1,41.0,78.27,1.11,62.61,0.93,58.0,0.67
2025-04-07,11:30,854,39.1,41.3,78.17,1.28,62.54,1.07,67.0,0.67
2025-04-07,12:00,952,39.1,41.5,78.1,1.43,62.48,1.2,75.0,0.67
2025-04-07,12:30,1029,39.1,41.7,78.04,1.54,62.43,1.29,81.0,0.67
2025-04-07,13:00,1064,39.1,41.8,78.01,1.6,62.41,1.34,83.0,0.67
2025-04-07,13:30,1088,39.1,41.9,77.99,1.63,62.39,1.37,85.0,0.67
2025-04-07,14:00,1050,39.1,41.8,78.02,1.58,62.42,1.32,82.0,0.67
2025-04-07,14:30,979,39.1,41.6,78.08,1.47,62.46,1.23,77.0,0.67
2025-04-07,15:00,962,39.1,41.5,78.09,1.44,62.47,1.21,76.0,0.67
2025-04-07,15:30,897,39.1,41.4,78.14,1.35,62.51,1.13,71.0,0.67
2025-04-07,16:00,791,39.1,41.1,78.22,1.19,62.58,0.99,62.0,0.67
2025-04-07,16:30,610,39.1,40.7,78.37,0.92,62.69,0.77,48.0,0.67
2025-04-07,17:00,512,39.1,40.4,78.45,0.77,62.76,0.64,40.0,0.67
2025-04-07,17:30,306,39.1,39.9,78.61,0.46,62.89,0.38,24.0,0.67
2025-04-07,18:00,250,39.1,39.8,78.65,0.37,62.92,0.31,20.0,0.67
2025-04-07,18:30,250,39.1,39.8,78.65,0.37,62.92,0.31,20.0,0.67
2025-04-08,08:30,250,39.7,40.3,78.48,0.37,62.78,0.31,20.0,0.67
2025-04-08,09:00,250,39.7,40.3,78.48,0.37,62.78,0.31,20.0,0.67
2025-04-08,09:30,348,39.7,40.6,78.4,0.52,62.72,0.44,27.0,0.67
2025-04-08,10:00,494,39.7,40.9,78.28,0.74,62.63,0.62,39.0,0.67
2025-04-08,10:30,669,39.7,41.4,78.14,1.0,62.52,0.84,53.0,0.67
2025-04-08,11:00,825,39.7,41.8,78.02,1.24,62.42,1.04,65.0,0.67
2025-04-08,11:30,896,39.7,41.9,77.96,1.35,62.37,1.13,70.0,0.67
2025-04-08,12:00,1000,39.7,42.2,77.88,1.5,62.31,1.26,78.0,0.67
2025-04-08,12:30,1062,39.7,42.4,77.83,1.6,62.27,1.34,83.0,0.67
2025-04-08,13:00,1063,39.7,42.4,77.83,1.6,62.27,1.34,83.0,0.67
2025-04-08,13:30,1090,39.7,42.4,77.81,1.64,62.25,1.37,85.0,0.67
2025-04-08,14:00,1067,39.7,42.4,77.83,1.6,62.26,1.34,84.0,0.67
2025-04-08,14:30,1065,39.7,42.4,77.83,1.6,62.26,1.34,83.0,0.67
2025-04-08,15:00,986,39.7,42.2,77.89,1.48,62.31,1.24,77.0,0.67
2025-04-08,15:30,903,39.7,42.0,77.96,1.36,62.37,1.14,71.0,0.67
2025-04-08,16:00,820,39.7,41.7,78.02,1.23,62.42,1.03,64.0,0.67
2025-04-08,16:30,627,39.7,41.3,78.18,0.94,62.54,0.79,49.0,0.67
2025-04-08,17:00,490,39.7,40.9,78.29,0.74,62.63,0.62,39.0,0.67
2025-04-08,17:30,377,39.7,40.6,78.38,0.57,62.7,0.47,30.0,0.67
2025-04-08,18:00,250,39.7,40.3,78.48,0.37,62.78,0.31,20.0,0.67
2025-04-08,18:30,250,39.7,40.3,78.48,0.37,62.78,0.31,20.0,0.67
2025-04-09,08:30,250,40.7,41.4,78.14,0.38,62.51,0.31,20.0,0.67
2025-04-09,09:00,250,40.7,41.4,78.14,0.38,62.51,0.31,20.0,0.67
2025-04-09,09:30,334,40.7,41.6,78.08,0.5,62.46,0.42,26.0,0.67
2025-04-09,10:00,492,40.7,42.0,77.95,0.74,62.36,0.62,39.0,0.67
2025-04-09,10:30,669,40.7,42.4,77.81,1.01,62.25,0.84,52.0,0.67
2025-04-09,11:00,757,40.7,42.6,77.74,1.14,62.19,0.95,59.0,0.67
2025-04-09,11:30,847,40.7,42.9,77.67,1.27,62.14,1.07,66.0,0.67
2025-04-09,12:00,941,40.7,43.1,77.6,1.41,62.08,1.18,74.0,0.67
2025-04-09,12:30,1051,40.7,43.4,77.51,1.58,62.01,1.32,82.0,0.67
2025-04-09,13:00,1042,40.7,43.4,77.52,1.57,62.01,1.31,81.0,0.67
2025-04-09,13:30,1085,40.7,43.5,77.48,1.63,61.99,1.37,85.0,0.67
2025-04-09,14:00,1051,40.7,43.4,77.51,1.58,62.01,1.32,82.0,0.67
2025-04-09,14:30,981,40.7,43.2,77.56,1.47,62.05,1.24,77.0,0.67
2025-04-09,15:00,952,40.7,43.1,77.59,1.43,62.07,1.2,74.0,0.67
2025-04-09,15:30,845,40.7,42.9,77.67,1.27,62.14,1.06,66.0,0.67
2025-04-09,16:00,784,40.7,42.7,77.72,1.18,62.18,0.99,61.0,0.67
2025-04-09,16:30,609,40.7,42.3,77.86,0.92,62.29,0.77,48.0,0.67
2025-04-09,17:00,520,40.7,42.0,77.93,0.78,62.34,0.65,41.0,0.67
2025-04-09,17:30,343,40.7,41.6,78.07,0.52,62.46,0.43,27.0,0.67
2025-04-09,18:00,250,40.7,41.4,78.14,0.38,62.51,0.31,20.0,0.67
2025-04-09,18:30,250,40.7,41.4,78.14,0.38,62.51,0.31,20.0,0.67
2025-04-10,08:30,250,40.0,40.6,78.38,0.37,62.7,0.31,20.0,0.67
2025-04-10,09:00,250,40.0,40.6,78.38,0.37,62.7,0.31,20.0,0.67
2025-04-10,09:30,335,40.0,40.8,78.31,0.5,62.65,0.42,26.0,0.67
2025-04-10,10:00,480,40.0,41.2,78.2,0.72,62.56,0.6,38.0,0.67
2025-04-10,10:30,579,40.0,41.4,78.12,0.87,62.5,0.73,45.0,0.67
2025-04-10,11:00,755,40.0,41.9,77.98,1.13,62.38,0.95,59.0,0.67
2025-04-10,11:30,838,40.0,42.1,77.91,1.26,62.33,1.05,66.0,0.67
2025-04-10,12:00,954,40.0,42.4,77.82,1.43,62.26,1.2,75.0,0.67
2025-04-10,12:30,973,40.0,42.4,77.81,1.46,62.25,1.22,76.0,0.67
2025-04-10,13:00,1023,40.0,42.6,77.77,1.54,62.21,1.29,80.0,0.67
2025-04-10,13:30,1068,40.0,42.7,77.73,1.6,62.19,1.34,84.0,0.67
2025-04-10,14:00,1059,40.0,42.6,77.74,1.59,62.19,1.33,83.0,0.67
2025-04-10,14:30,992,40.0,42.5,77.79,1.49,62.23,1.25,78.0,0.67
2025-04-10,15:00,950,40.0,42.4,77.83,1.43,62.26,1.19,74.0,0.67
2025-04-10,15:30,891,40.0,42.2,77.87,1.34,62.3,1.12,70.0,0.67
2025-04-10,16:00,767,40.0,41.9,77.97,1.15,62.38,0.97,60.0,0.67
2025-04-10,16:30,590,40.0,41.5,78.11,0.89,62.49,0.74,46.0,0.67
2025-04-10,17:00,454,40.0,41.1,78.22,0.68,62.58,0.57,36.0,0.67
2025-04-10,17:30,305,40.0,40.8,78.34,0.46,62.67,0.38,24.0,0.67
2025-04-10,18:00,250,40.0,40.6,78.38,0.37,62.7,0.31,20.0,0.67
2025-04-10,18:30,250,40.0,40.6,78.38,0.37,62.7,0.31,20.0,0.67
2025-04-11,08:30,250,39.6,40.2,78.5,0.37,62.8,0.31,20.0,0.67
2025-04-11,09:00,250,39.6,40.2,78.5,0.37,62.8,0.31,20.0,0.67
2025-04-11,09:30,324,39.6,40.4,78.45,0.49,62.76,0.41,26.0,0.67
2025-04-11,10:00,542,39.6,41.0,78.27,0.81,62.62,0.68,43.0,0.67
2025-04-11,10:30,646,39.6,41.2,78.19,0.97,62.55,0.81,51.0,0.67
2025-04-11,11:00,775,39.6,41.5,78.09,1.16,62.47,0.98,61.0,0.67
2025-04-11,11:30,886,39.6,41.8,78.0,1.33,62.4,1.11,70.0,0.67
2025-04-11,12:00,998,39.6,42.1,77.91,1.5,62.33,1.26,78.0,0.67
2025-04-11,12:30,1065,39.6,42.3,77.86,1.6,62.29,1.34,83.0,0.67
2025-04-11,13:00,1139,39.6,42.5,77.8,1.71,62.24,1.43,89.0,0.67
2025-04-11,13:30,1173,39.6,42.5,77.77,1.76,62.22,1.48,92.0,0.67
2025-04-11,14:00,1167,39.6,42.5,77.78,1.75,62.22,1.47,91.0,0.67
2025-04-11,14:30,1117,39.6,42.4,77.82,1.68,62.25,1.41,88.0,0.67
2025-04-11,15:00,994,39.6,42.1,77.92,1.49,62.33,1.25,78.0,0.67
2025-04-11,15:30,928,39.6,41.9,77.97,1.39,62.37,1.17,73.0,0.67
2025-04-11,16:00,786,39.6,41.6,78.08,1.18,62.46,0.99,62.0,0.67
2025-04-11,16:30,670,39.6,41.3,78.17,1.01,62.54,0.84,53.0,0.67
2025-04-11,17:00,508,39.6,40.9,78.3,0.76,62.64,0.64,40.0,0.67
2025-04-11,17:30,358,39.6,40.5,78.42,0.54,62.74,0.45,28.0,0.67
2025-04-11,18:00,250,39.6,40.2,78.5,0.37,62.8,0.31,20.0,0.67
2025-04-11,18:30,250,39.6,40.2,78.5,0.37,62.8,0.31,20.0,0.67
2025-04-12,08:30,250,40.5,41.2,78.21,0.37,62.57,0.31,20.0,0.67
2025-04-12,09:00,250,40.5,41.2,78.21,0.37,62.57,0.31,20.0,0.67
2025-04-12,09:30,366,40.5,41.5,78.12,0.55,62.49,0.46,29.0,0.67
2025-04-12,10:00,480,40.5,41.7,78.03,0.72,62.42,0.6,38.0,0.67
2025-04-12,10:30,645,40.5,42.1,77.9,0.97,62.32,0.81,51.0,0.67
2025-04-12,11:00,804,40.5,42.5,77.77,1.21,62.22,1.01,63.0,0.67
2025-04-12,11:30,941,40.5,42.9,77.66,1.41,62.13,1.18,74.0,0.67
2025-04-12,12:00,1012,40.5,43.1,77.61,1.52,62.09,1.27,79.0,0.67
2025-04-12,12:30,1042,40.5,43.1,77.58,1.57,62.07,1.31,81.0,0.67
2025-04-12,13:00,1091,40.5,43.3,77.55,1.64,62.04,1.37,85.0,0.67
2025-04-12,13:30,1156,40.5,43.4,77.49,1.74,61.99,1.46,90.0,0.67
2025-04-12,14:00,1145,40.5,43.4,77.5,1.72,62.0,1.44,89.0,0.67
2025-04-12,14:30,1052,40.5,43.2,77.58,1.58,62.06,1.33,82.0,0.67
2025-04-12,15:00,968,40.5,43.0,77.64,1.46,62.11,1.22,76.0,0.67
2025-04-12,15:30,888,40.5,42.8,77.71,1.33,62.16,1.12,69.0,0.67
2025-04-12,16:00,777,40.5,42.5,77.79,1.17,62.23,0.98,61.0,0.67
2025-04-12,16:30,641,40.5,42.1,77.9,0.96,62.32,0.81,50.0,0.67
2025-04-12,17:00,497,40.5,41.8,78.02,0.75,62.41,0.63,39.0,0.67
2025-04-12,17:30,350,40.5,41.4,78.13,0.53,62.51,0.44,28.0,0.67
2025-04-12,18:00,250,40.5,41.2,78.21,0.37,62.57,0.31,20.0,0.67
2025-04-12,18:30,250,40.5,41.2,78.21,0.37,62.57,0.31,20.0,0.67
2025-04-13,08:30,250,39.8,40.5,78.43,0.37,62.75,0.31,20.0,0.67
2025-04-13,09:00,250,39.8,40.5,78.43,0.37,62.75,0.31,20.0,0.67
2025-04-13,09:30,360,39.8,40.7,78.35,0.54,62.68,0.45,28.0,0.67
2025-04-13,10:00,516,39.8,41.1,78.22,0.78,62.58,0.65,41.0,0.67
2025-04-13,10:30,614,39.8,41.4,78.15,0.92,62.52,0.77,48.0,0.67
2025-04-13,11:00,749,39.8,41.7,78.04,1.12,62.43,0.94,59.0,0.67
2025-04-13,11:30,870,39.8,42.0,77.94,1.31,62.35,1.09,68.0,0.67
2025-04-13,12:00,951,39.8,42.2,77.88,1.43,62.3,1.2,75.0,0.67
2025-04-13,12:30,1054,39.8,42.5,77.8,1.58,62.24,1.33,83.0,0.67
2025-04-13,13:00,1089,39.8,42.6,77.77,1.64,62.22,1.37,85.0,0.67
2025-04-13,13:30,1051,39.8,42.5,77.8,1.58,62.24,1.32,82.0,0.67
2025-04-13,14:00,1094,39.8,42.6,77.76,1.64,62.21,1.38,86.0,0.67
2025-04-13,14:30,1030,39.8,42.4,77.82,1.55,62.25,1.3,81.0,0.67
2025-04-13,15:00,945,39.8,42.2,77.88,1.42,62.31,1.19,74.0,0.67
2025-04-13,15:30,859,39.8,42.0,77.95,1.29,62.36,1.08,67.0,0.67
2025-04-13,16:00,787,39.8,41.8,78.01,1.18,62.41,0.99,62.0,0.67
2025-04-13,16:30,597,39.8,41.3,78.16,0.9,62.53,0.75,47.0,0.67
2025-04-13,17:00,513,39.8,41.1,78.22,0.77,62.58,0.65,40.0,0.67
2025-04-13,17:30,344,39.8,40.7,78.36,0.52,62.69,0.43,27.0,0.67
2025-04-13,18:00,250,39.8,40.5,78.43,0.37,62.75,0.31,20.0,0.67
2025-04-13,18:30,250,39.8,40.5,78.43,0.37,62.75,0.31,20.0,0.67
2025-04-14,08:30,250,33.0,33.6,80.61,0.37,64.48,0.31,20.0,0.67
2025-04-14,09:00,250,33.0,33.6,80.61,0.37,64.48,0.31,20.0,0.67
2025-04-14,09:30,333,33.0,33.8,80.54,0.5,64.43,0.42,27.0,0.67
2025-04-14,10:00,509,33.0,34.2,80.4,0.76,64.32,0.64,41.0,0.67
2025-04-14,10:30,616,33.0,34.5,80.32,0.92,64.25,0.77,49.0,0.67
2025-04-14,11:00,750,33.0,34.8,80.21,1.12,64.17,0.94,60.0,0.67
2025-04-14,11:30,842,33.0,35.1,80.14,1.26,64.11,1.05,67.0,0.67
2025-04-14,12:00,981,33.0,35.4,80.03,1.46,64.02,1.23,78.0,0.67
2025-04-14,12:30,1033,33.0,35.6,79.99,1.54,63.99,1.29,83.0,0.67
2025-04-14,13:00,1083,33.0,35.7,79.95,1.62,63.96,1.35,87.0,0.67
2025-04-14,13:30,1035,33.0,35.6,79.98,1.54,63.99,1.29,83.0,0.67
2025-04-14,14:00,1053,33.0,35.6,79.97,1.57,63.98,1.32,84.0,0.67
2025-04-14,14:30,1019,33.0,35.5,80.0,1.52,64.0,1.27,81.0,0.67
2025-04-14,15:00,959,33.0,35.4,80.04,1.43,64.04,1.2,77.0,0.67
2025-04-14,15:30,826,33.0,35.0,80.15,1.23,64.12,1.03,66.0,0.67
2025-04-14,16:00,727,33.0,34.8,80.23,1.08,64.18,0.91,58.0,0.67
2025-04-14,16:30,631,33.0,34.6,80.3,0.94,64.24,0.79,51.0,0.67
2025-04-14,17:00,460,33.0,34.1,80.44,0.69,64.35,0.57,37.0,0.67
2025-04-14,17:30,359,33.0,33.9,80.52,0.54,64.42,0.45,29.0,0.67
2025-04-14,18:00,250,33.0,33.6,80.61,0.37,64.48,0.31,20.0,0.67
2025-04-14,18:30,250,33.0,33.6,80.61,0.37,64.48,0.31,20.0,0.67
2025-04-15,08:30,250,40.1,40.7,78.34,0.37,62.67,0.31,20.0,0.67
2025-04-15,09:00,250,40.1,40.7,78.34,0.37,62.67,0.31,20.0,0.67
2025-04-15,09:30,354,40.1,41.0,78.26,0.53,62.61,0.45,28.0,0.67
2025-04-15,10:00,508,40.1,41.4,78.14,0.76,62.51,0.64,40.0,0.67
2025-04-15,10:30,644,40.1,41.7,78.03,0.97,62.42,0.81,51.0,0.67
2025-04-15,11:00,739,40.1,42.0,77.96,1.11,62.36,0.93,58.0,0.67
2025-04-15,11:30,856,40.1,42.3,77.86,1.29,62.29,1.08,67.0,0.67
2025-04-15,12:00,945,40.1,42.5,77.79,1.42,62.23,1.19,74.0,0.67
2025-04-15,12:30,1042,40.1,42.7,77.72,1.57,62.17,1.31,82.0,0.67
2025-04-15,13:00,1075,40.1,42.8,77.69,1.62,62.15,1.35,84.0,0.67
2025-04-15,13:30,1061,40.1,42.8,77.7,1.59,62.16,1.34,83.0,0.67
2025-04-15,14:00,1097,40.1,42.9,77.67,1.65,62.14,1.38,86.0,0.67
