Season,Month,Shape,Spacing_cm,Energy_kWh,Baseline_Energy_kWh,Deviation_%
Summer,April,Flat,62,14.00816,14.1969425,-1.3297405409650724
Summer,April,Flat,77,14.1969425,14.1969425,0.0
Summer,April,Flat,93,14.337255,14.1969425,0.988329001121194
Summer,April,Inverted-V,62,15.16078,14.1969425,6.789049825340916
Summer,April,Inverted-V,77,15.3643,14.1969425,8.222597929096349
Summer,April,Inverted-V,93,15.51559,14.1969425,9.288249917191669
Summer,April,V-Shape,62,14.7155775,14.1969425,3.65314573895048
Summer,April,V-Shape,77,14.9136675,14.1969425,5.048446170715986
Summer,April,V-Shape,93,15.0609225,14.1969425,6.085676546199998
Summer,June,Flat,62,10.65355,10.789455,-1.2596094983481654
Summer,June,Flat,77,10.789455,10.789455,0.0
Summer,June,Flat,93,10.890575,10.789455,0.9372113790733626
Summer,June,Inverted-V,62,11.5413425,10.789455,6.968725482427058
Summer,June,Inverted-V,77,11.6878225,10.789455,8.326347345625882
Summer,June,Inverted-V,93,11.79665,10.789455,9.334994214258268
Summer,June,V-Shape,62,11.1988575,10.789455,3.794468766031283
Summer,June,V-Shape,77,11.3414675,10.789455,5.116222274433695
Summer,June,V-Shape,93,11.447470000000001,10.789455,6.09868617089557
Summer,May,Flat,62,11.013975,11.1571775,-1.2835011363761062
Summer,May,Flat,77,11.1571775,11.1571775,0.0
Summer,May,Flat,93,11.2635875,11.1571775,0.9537358350711937
Summer,May,Inverted-V,62,11.930275,11.1571775,6.929149419734521
Summer,May,Inverted-V,77,12.0846,11.1571775,8.312339747216539
Summer,May,Inverted-V,93,12.1992675,11.1571775,9.340086235967833
Summer,May,V-Shape,62,11.5766275,11.1571775,3.759463358900593
Summer,May,V-Shape,77,11.7268875,11.1571775,5.106219740610926
Summer,May,V-Shape,93,11.838565000000001,11.1571775,6.107167336900407
Winter,December,Flat,62,10.35979,10.4895475,-1.237017135391209
Winter,December,Flat,77,10.4895475,10.4895475,0.0
Winter,December,Flat,93,10.585985,10.4895475,0.9193675894980256
Winter,December,Inverted-V,62,11.2216025,10.4895475,6.978899709448849
Winter,December,Inverted-V,77,11.361395,10.4895475,8.311583507296186
Winter,December,Inverted-V,93,11.465300000000001,10.4895475,9.302141012279131
Winter,December,V-Shape,62,10.8893375,10.4895475,3.8113178857333874
Winter,December,V-Shape,77,11.02545,10.4895475,5.108919140696954
Winter,December,V-Shape,93,11.1266525,10.4895475,6.073712903249639
Winter,November,Flat,62,9.275085,9.390755,-1.2317433475796111
Winter,November,Flat,77,9.390755,9.390755,0.0
Winter,November,Flat,93,9.476545,9.390755,0.9135580685471973
Winter,November,Inverted-V,62,10.0486625,9.390755,7.0059063408639695
Winter,November,Inverted-V,77,10.173195,9.390755,8.332024421891523
Winter,November,Inverted-V,93,10.2656825,9.390755,9.316902634559202
Winter,November,V-Shape,62,9.750415,9.390755,3.8299369965460697
Winter,November,V-Shape,77,9.8716675,9.390755,5.1211271085232095
Winter,November,V-Shape,93,9.9618325,9.390755,6.081273550422724
Winter,October,Flat,62,10.90286,11.0407625,-1.249030580994738
Winter,October,Flat,77,11.0407625,11.0407625,0.0
Winter,October,Flat,93,11.143295,11.0407625,0.928672272408727
Winter,October,Inverted-V,62,11.8103275,11.0407625,6.970216051654042
Winter,October,Inverted-V,77,11.9588775,11.0407625,8.315684718333541
Winter,October,Inverted-V,93,12.069275,11.0407625,9.31559301271085
Winter,October,V-Shape,62,11.4604,11.0407625,3.800801801506013
Winter,October,V-Shape,77,11.605065,11.0407625,5.111082681110115
Winter,October,V-Shape,93,11.7125675,11.0407625,6.084769960408087
